video_id,airflow_rate,delta_T,material,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio
T2.8V_2025-07-25-19-15-29_20_30_10_,1.13921,10.0,gypsum,297,0.0280116394542062,0.2741783797138879,0.0607958706942471,0.6556644439697266,23.436771330014626,0.5699607184692911,22.730287551879883,25.543699264526367,0.412099361335177,0.3022672951181328,0.4469597492153809,0.6291879618261613,0.6070909574575228,75.44,85.42105263157895,91,1,1.066427289048474,0,9.4,1.4917545080055583,1.466209561127272,0.0123555233815039,1.089898386806099,24.724713472219612,24.450856273824517,23.795019268989563,23.31522481918335,23.112200448387547,399,0.9047619047619048
T1.6V_2025-07-28-17-36-55_20_34_14_,0.38087,14.0,gypsum,198,0.0178674415305809,0.2084975676103084,0.0471133655971951,0.4616851806640625,23.140573071566497,0.2201671920919298,22.757728576660156,24.06588554382324,0.2914587720032397,0.2280728141707612,0.3130302043876263,0.292457740360411,0.2605035911223682,29.273333333333333,38.5,43,1,1.0909090909090908,0,9.4,1.2878479576965096,1.1974558771472052,0.0093583235243157,1.0399865841435754,23.778322366567757,23.53664583630032,23.22080971300602,23.05482871392194,23.00273098665125,270,0.8333333333333334
T2.6V_2025-07-25-18-16-07_20_30_10_,1.06148,10.0,gypsum,308,0.0204162621888516,0.2452542255451142,0.0580698649088541,0.6173954010009766,23.368041429891218,0.500201326523607,22.757728576660156,25.263259887695312,0.3549346997162615,0.2658247296634691,0.3836017955433242,0.5626544578105648,0.5387206193656772,70.72666666666667,79.13157894736842,84,1,1.0826010544815463,0,9.6,1.5821720833712738,1.7935806981138305,0.0105439430756024,1.0811030082897677,24.53953478886531,24.265019754568737,23.60211411275362,23.212959502507186,23.07383077284869,378,0.8571428571428571
T2.0V_2025-07-28-16-46-09_20_34_14_,0.60481,14.0,gypsum,225,0.0260045840416426,0.2894357384575734,0.0701436996459961,0.8291969299316406,22.875731119452585,0.3015336105767516,22.31772804260254,24.092952728271484,0.5245314572429097,0.3406745114926935,0.5625641038682723,0.4052090641008025,0.3604423859161778,57.946666666666665,82.94736842105263,93,1,1.036866359447005,0,9.8,1.2735453564317376,1.1491359705022104,0.0137070444538619,1.0532101729323011,23.880458105178107,23.368166665236156,22.956014909242327,22.757236951018033,22.675376347133092,340,0.85
T2.8V_2025-07-25-19-06-06_20_34_14_,1.13921,14.0,gypsum,371,0.0349774041674761,0.3460413066524701,0.1020663125174386,1.0870895385742188,22.90673876883206,0.5974472424130045,22.248804092407227,25.45030403137207,0.5754879507583537,0.4034933783230441,0.61785089744712,0.7273633088644461,0.6762969373505999,105.78,131.18421052631578,141,1,1.0722543352601157,0,9.8,1.817236332405925,2.7853394374606877,0.0207227758344316,1.1110400432033956,24.56302311306908,24.078574466705323,23.161977608998615,22.75028879625084,22.617650048774586,440,0.9090909090909092
T2.6V_2025-07-25-18-32-38_20_26_6_,1.06148,6.0,gypsum,342,0.0171021829571641,0.177902461492529,0.0421798229217529,0.4055137634277344,22.93296634952925,0.3728845106531718,22.42790985107422,24.47111701965332,0.2824633387867667,0.2073701771518654,0.3091505061813286,0.4162520192236036,0.4004318192751421,61.53333333333333,69.89473684210526,74,1,1.0604651162790697,0,9.4,1.7196172772217766,2.3921475819787243,0.0079643293151015,1.0670715966997286,23.834985733032227,23.596034387747448,23.082784497737883,22.826416713984933,22.738174452926177,440,0.9090909090909092
T3.0V_2025-07-28-16-17-19_20_26_6_,1.28246,6.0,gypsum,181,0.0194098295208284,0.2175333223290216,0.0339484214782715,0.2584114074707031,22.894450406027104,0.2775301266931105,22.345291137695312,23.808364868164062,0.3019349216617588,0.227013552966039,0.3238802535757834,0.3077814361206682,0.2924006428325266,34.78,42.68421052631579,48,1,1.107033639143731,0,9.2,1.0073477706112852,0.1870756718081399,0.0055016203656711,1.0399186023655915,23.627206802368164,23.404082196099417,23.034752112168533,22.81954092449612,22.7169038120069,224,0.875
T2.2V_2025-07-25-17-49-55_20_26_6_,0.76483,6.0,gypsum,236,0.0160070712572161,0.1861512539750442,0.0405426025390624,0.5407581329345703,23.05749372207512,0.3707586828488348,22.551727294921875,24.45763397216797,0.2682564418088327,0.1966284943165765,0.2956137899625126,0.4194734291935208,0.3984645376486324,46.50666666666667,53.28947368421053,56,1,1.0702947845804989,0,9.8,1.3695187431297997,1.1240864720807764,0.006794492937902,1.0607238699474244,23.857517682589016,23.685604333877563,23.206082900365193,22.92711989879608,22.837050574166433,323,0.8947368421052632
T1.6V_2025-07-28-18-04-15_20_26_6_,0.38087,6.0,gypsum,102,0.017748588319563,0.1958132912130921,0.0340216500418526,0.3810043334960937,23.0512073838477,0.2063303125490415,22.675373077392575,23.754060745239254,0.2887722237806448,0.2145503113939868,0.3081577899409282,0.2445048133703737,0.2302476476817042,15.046666666666669,19.81578947368421,23,1,1.1396648044692737,0,8.8,0.8805367028589126,0.063930583244578,0.0058759331225951,1.030490956490377,23.686129760742187,23.464542627334595,23.22241981824239,23.016857359144424,22.9391534896124,132,0.9166666666666666
T2.6V_2025-07-25-18-06-58_20_34_14_,1.06148,14.0,gypsum,377,0.0316835691821353,0.3005563245211711,0.0923353433609008,0.9544239044189452,23.036970636180605,0.4985853441993954,22.455442428588867,25.22313690185547,0.4830659981897607,0.3367154319216769,0.5186187126908415,0.6238470532142405,0.5701809077301854,95.41333333333333,117.42105263157896,129,1,1.053072625698324,0,9.8,1.74697729977683,2.5978971704282676,0.0173389100695658,1.0948981660913952,24.422247705005464,24.09978512922923,23.32130084037781,22.923369733298696,22.791356535518872,483,0.9130434782608696
