video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T1.6V_2025-08-05-19-57-24_20_34_14_,1_centerhole,0.52413,brick_cladding,14.0,1.6,2.2,brick_cladding_all,161,0.01812348046122,0.1704497248489644,0.0313318692720853,0.2987785339355469,22.65693180250085,0.3572906823980961,22.027889251708984,23.957536697387695,0.2680064323253192,0.1902861210130008,0.2874398083420253,0.4098878242906763,0.3856321314385061,1.1065292096219932,9.6,1.3361964318826127,1.2124997671823667,210,0.9333333333333332,45.21320307254791,0.9897036905137953,0.3446535922902444,745.8010864257812,885.6063842773438,0.9094160044415311,2.78731738262295
T1.6V_2025-08-05-19-57-24_20_34_14_,2_cornerhole,0.15154,brick_cladding,14.0,1.6,2.2,brick_cladding_all,143,0.0099986472052012,0.0867412940605518,0.0136947631835937,0.1506614685058593,22.728362176801777,0.069485711193455,22.48296546936035,22.990665435791016,0.172343547527605,0.1112909501971605,0.1970737964123259,0.0915755867985374,0.0808036149412912,1.1171875,9.0,0.1877607525854239,-0.0602970919749932,176,0.6875,43.55634891986847,0.947202782414439,0.2789300689635255,329.52561378479004,447.38014030456543,0.4547773707996569,2.022563787607046
T1.8V_2025-08-05-19-42-20_20_26_6_,1_centerhole,0.71198,brick_cladding,6.0,1.8,3.7,brick_cladding_all,167,0.0126657701208536,0.1138206070768639,0.0211903452873229,0.1357173919677734,22.796684993812423,0.3326855137115452,22.248804092407227,23.971080780029297,0.1682497749484907,0.1259999197923736,0.1918971010310919,0.3757120625321685,0.3557092885230147,1.0986842105263157,9.6,1.2739202072167928,0.989692024635826,210,0.9333333333333332,46.3847758769989,0.9753835124686684,0.358356145896546,590.4290008544922,766.1570205688477,0.6957357532249991,2.740341346420928
T1.8V_2025-08-05-19-42-20_20_26_6_,2_cornerhole,0.21923,brick_cladding,6.0,1.8,3.7,brick_cladding_all,150,0.0091668851447821,0.0936129124959315,0.0146329970586867,0.1911697387695312,22.964307007598876,0.0827672583404579,22.675373077392575,23.30492401123047,0.1715147476865535,0.1077156270345053,0.1984392420450831,0.105989490972585,0.0954952261966423,1.1278195488721805,9.8,0.2931756429487975,-0.1063948179528742,182,0.9285714285714286,42.97056233882904,1.0208432200553408,0.3003041395593169,313.20580101013184,458.78871726989746,0.422557056427004,1.959414914449056
T1.8V_2025-08-08-19-04-55_20_28_8_,1_centerhole,0.61767,brick_cladding,8.0,1.8,2.9,brick_cladding_all,138,0.0102987901517812,0.1233101858608982,0.0215968218716708,0.2308273315429687,22.845658356486883,0.3477686858726505,22.04170608520508,23.971080780029297,0.209926833640884,0.1481691471044575,0.2469694027002305,0.3784322013549153,0.3647952616927175,0.98220640569395,9.4,0.8880495697264776,-0.0566871863191975,221,0.7647058823529411,71.00171339511871,0.3439943362874287,0.5194391229255069,569.8776168823242,702.9895324707031,0.815969125775332,2.8871111800705176
T1.8V_2025-08-08-19-04-55_20_28_8_,2_cornerhole,0.18493,brick_cladding,8.0,1.8,2.9,brick_cladding_all,175,0.0037954095549179,0.0503713117327002,0.0073840167071368,0.0273399353027343,22.790748278808596,0.1145658512267757,22.48296546936035,23.19573402404785,0.0967961699980542,0.0671109732491628,0.1109744698660719,0.1385130756751811,0.1267151925474807,1.023391812865497,8.4,0.3111229538575788,-0.3097503371191612,252,0.5714285714285714,56.62741661071777,0.6857951576910344,0.4125271734550289,302.4850730895996,464.58355712890625,0.340660095214842,1.920371813092913
T1.8V_2025-08-05-19-26-05_20_30_10_,1_centerhole,0.71198,brick_cladding,10.0,1.8,3.7,brick_cladding_all,184,0.012141984442006,0.1214585407920516,0.0279719254066204,0.2976322174072265,22.903376823715544,0.3948798146758194,22.290163040161133,24.295719146728516,0.2126892507758246,0.1497904194956247,0.248544247254081,0.450979906471436,0.4257258584000785,1.0791788856304985,8.4,1.3841853337311292,1.2992238132104674,224,0.875,50.14213538169861,0.9196488598775416,0.373621134525512,787.639196395874,938.6761417388916,0.8439837072206634,2.7989247052565864
T1.8V_2025-08-05-19-26-05_20_30_10_,2_cornerhole,0.21923,brick_cladding,10.0,1.8,3.7,brick_cladding_all,156,0.0080974244663857,0.0756825178097457,0.0151793162027994,0.1229171752929687,23.013750122021406,0.0852974005738931,22.730287551879883,23.332202911376953,0.1615774123131353,0.1067715577182616,0.1779340597299423,0.112620575939317,0.0998012888443301,1.1142857142857143,8.2,0.1462591797214875,-0.2892619236670617,195,0.8666666666666667,44.38477599620819,0.9950992469441,0.3245508559461341,393.1538333892822,475.86417961120605,0.4964751243591402,1.9723242735251405
T1.8V_2025-08-05-19-17-15_20_34_14_,1_centerhole,0.71198,brick_cladding,14.0,1.8,3.7,brick_cladding_all,171,0.0158879352591867,0.1682440662941751,0.0338818810202858,0.3795738220214844,22.725657467758445,0.3901973955181072,22.12459945678711,24.174100875854492,0.2854514326011628,0.1890075261969311,0.316022426761382,0.4574350694249531,0.4272067639305191,1.072100313479624,9.8,1.341566640808898,1.2150938627030312,224,0.875,48.38477599620819,0.9178854906943248,0.3504825391609271,794.8596878051758,927.3439826965332,0.9128360469438844,2.7303952334219947
T1.8V_2025-08-05-19-17-15_20_34_14_,2_cornerhole,0.21923,brick_cladding,14.0,1.8,3.7,brick_cladding_all,164,0.0108154887899327,0.1121872459969886,0.0146739823477608,0.164377212524414,22.742583630957256,0.0781760599792603,22.469200134277344,23.03171157836914,0.207604599855985,0.1329095721826335,0.2238074744619993,0.1074991612058653,0.0929176166993945,1.108108108108108,9.8,0.0564006520446808,-0.0347732756035279,208,0.8125,45.79898941516876,0.9825211815732438,0.324682390664885,509.4027156829834,577.2821369171143,0.6100040994039543,1.9854745167057688
