video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T2.2V_2025-07-29-17-53-01_20_32_12_,1,0.76483,gypsum,12.0,2.2,6.6,gypsum_new,404,0.0213355391818424,0.2005468547934334,0.0730436498468572,0.7517051696777344,23.109656339872004,0.4688144588844583,22.620439529418945,25.303373336791992,0.3369300288418535,0.2295876849209109,0.3654715188659061,0.5526625212388133,0.5227817174896162,1.0024813895781637,9.4,2.1650709192272366,4.30205948469278,572,0.8461538461538461,2387.0835552215576,2609.2413387298584,1.1616698468085425,1.9496673026887497
T2.2V_2025-07-25-17-23-25_20_34_14_,1,0.76483,gypsum,14.0,2.2,6.6,gypsum_new,328,0.0316049299912076,0.3301842154526149,0.0939688475235648,1.0277462005615234,22.738547249654445,0.4395601821081208,22.179819107055664,24.673112869262695,0.4676227291068005,0.3495994296500358,0.5122310533756149,0.5714518977409044,0.5134354213478017,1.0807248764415156,9.8,1.6100725725672025,2.1664669476322373,378,0.8571428571428571,3293.3506984710693,3349.012575149536,1.975122248254178,1.9278234970278856
T2.4V_2025-07-17-19-09-10_22_30_8_,1,0.9497,gypsum,8.0,2.4,9.5,gypsum_new,225,0.0068197377522789,0.0701701185438352,0.005045303931603,0.0131072998046875,25.75556885138618,0.4989961810362017,24.13353157043457,27.327957153320312,0.088847880224037,0.069671005249022,0.1123037380642344,0.5031968220434467,0.5017561422603931,0.995575221238938,9.6,0.3236133887181331,0.3299080631460245,306,1.0588235294117647,394.20790100097656,576.3330039978027,0.3509720628526352,1.9097643534342448
T2.4V_2025-07-29-17-39-52_20_28_8_,1,0.9497,gypsum,8.0,2.4,9.5,gypsum_new,275,0.0175922922241739,0.195450869473543,0.0503277778625488,0.6182365417480469,23.307387381258877,0.4651960376941755,22.730287551879883,25.075870513916016,0.2785348364725054,0.2011223156553312,0.3042786892977602,0.5216074844885397,0.5001036376023716,1.061776061776062,9.8,1.612791485131622,1.846049275884764,357,0.8095238095238095,1571.6668815612793,1660.734661102295,1.1234853723699243,1.9083466824618256
T2.4V_2025-07-17-18-57-25_22_34_12_,1,0.9497,gypsum,12.0,2.4,9.5,gypsum_new,207,0.0075131270247924,0.0560836423422408,0.0174973805745442,0.1049938201904296,25.680616609693153,0.5123627442434685,24.038808822631836,27.3017520904541,0.144434065422333,0.0864509450448704,0.1595659302052681,0.5365091086374613,0.5251944512532265,1.0272952853598014,9.0,0.3941338989216014,0.3423834312864353,272,1.0625,363.06677436828613,545.8004360198975,0.3544260421237024,1.8878749534127792
T2.4V_2025-07-29-17-27-52_20_32_12_,1,0.9497,gypsum,12.0,2.4,9.5,gypsum_new,439,0.0234864060409872,0.2410802819462745,0.0828838348388671,0.980121612548828,23.31440358711538,0.4216952407630934,22.8262882232666,25.356828689575195,0.4033708448905116,0.2821343647718617,0.4262610198696563,0.5377540935388024,0.4903009362080248,1.0402843601895737,9.4,2.125796636441206,4.3416905072276775,575,0.92,3266.073631286621,3481.7148628234863,1.463852623872176,1.951265495839043
T2.6V_2025-07-25-18-32-38_20_26_6_,1,1.06148,gypsum,6.0,2.6,11.5,gypsum_new,341,0.0171951314720786,0.1784644196809566,0.0421798229217529,0.4055137634277344,22.93370566617009,0.3731705402645379,22.42790985107422,24.47111701965332,0.2829779808785128,0.2077264490062317,0.3096543756747891,0.4163430677056751,0.4006106515111287,1.06396255850234,9.4,1.7156662202184128,2.3767732152432126,440,0.9090909090909092,2005.984937667847,2084.1787509918213,1.1586843132623246,1.9130762329549031
T2.6V_2025-07-29-17-14-55_20_28_8_,1,1.06148,gypsum,8.0,2.6,11.5,gypsum_new,426,0.0173832585074456,0.1747491773865022,0.0432452033547794,0.5618724822998047,23.67943757607903,0.4318342563848462,23.154748916625977,25.530359268188477,0.2270974568564247,0.1753103696497771,0.2389913970875632,0.4674767516786512,0.4548367525287617,1.0364963503649636,9.8,1.921403051810972,3.27160468134047,528,0.9166666666666666,2110.7952423095703,2327.649543762207,0.973508764096834,1.9464160937098829
T2.6V_2025-07-29-17-02-30_20_32_12_,1,1.06148,gypsum,12.0,2.6,11.5,gypsum_new,489,0.0244038292374705,0.2242565428064864,0.0834178924560546,0.8410663604736328,23.662372544177465,0.4579579014529198,23.154748916625977,25.87652015686035,0.3573932573800694,0.2480513666695111,0.3865554591141844,0.5508967179405172,0.5144103191329128,1.0338266384778012,9.8,2.0941699038212227,4.157328208598116,624,0.9230769230769232,2940.4991607666016,3207.6917304992676,1.1810456359800732,1.885743716499313
T2.6V_2025-07-25-18-06-58_20_34_14_,1,1.06148,gypsum,14.0,2.6,11.5,gypsum_new,349,0.0332261181150947,0.3168009181418902,0.0923353433609008,0.9544239044189452,23.06685205246453,0.50622234768356,22.469200134277344,25.22313690185547,0.5039334545270705,0.3533985277119446,0.5403740891071322,0.6312969088112129,0.5775439552621727,1.0624048706240488,9.8,1.657186572837589,2.2420687699279576,437,0.8260869565217391,3170.6399326324463,3252.8735675811768,1.785305542932213,1.894031158490987
T2.8V_2025-07-25-19-31-52_20_26_6_,1,1.13921,gypsum,6.0,2.8,13.0,gypsum_new,360,0.0172563923729791,0.1746965885162339,0.0424452181215639,0.4861583709716797,22.90975311628977,0.4177303107006558,22.40037727355957,24.619293212890625,0.2717989532571085,0.1956863379301842,0.288105625576442,0.4551820223451541,0.4390117555511498,1.0557184750733135,9.8,1.7674220557536928,2.4836349621376312,483,0.9130434782608696,1932.4174938201904,2084.169691085815,1.0560956154929204,1.932570441563924
T2.8V_2025-07-25-19-15-29_20_30_10_,1,1.13921,gypsum,10.0,2.8,13.0,gypsum_new,311,0.027343323321643,0.2669417697133767,0.0607958706942471,0.6556644439697266,23.41555192561012,0.5656295815769569,22.730287551879883,25.543699264526367,0.4041695255054244,0.2954657856981096,0.4381440582766025,0.6252057860207171,0.6030016674058497,1.0705679862306368,9.4,1.5436154617832745,1.6464387968477538,399,0.9047619047619048,2552.1167907714844,2612.910758972168,1.6145384859042249,1.9042538339302089
