video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,temp_p25,temp_p75,temp_iqr
T1.8V_2025-07-25-16-37-05_20_34_14_,1,0.49703,gypsum,14.0,1.8,3.3,gypsum_new,322,0.0281390788392244,0.2995753910230583,0.089422724,0.9175338745117188,23.04584208352225,0.3976868307776213,22.510469436645508,24.834409713745117,0.4791772550287976,0.3437486827447564,0.5129947662353516,0.5342632236542079,0.4743438499416572,78.30666666666667,96.52631578947368,102,1,1.0609555189456343,0.0,9.6,1.7299266282852974,2.7276099881542777,0.0164048811268788,1.0776091246195638,24.190105165754044,23.872369468212128,23.27301575008191,22.979603082483465,22.84940044915498,420,0.9523809523809524,65.11269772052765,0.9544086291335044,0.2912791907023365,22.77144432067871,23.16841506958008,0.3969707489013672
T2.0V_2025-07-28-17-12-33_20_26_6_,1,0.60481,gypsum,6.0,2.0,4.5,gypsum_new,154,0.0181067726828835,0.1752882003784179,0.0386837550571986,0.393157959,23.27665818573592,0.2482025800771494,22.78516197,24.174100875854492,0.2778335217327929,0.1997715860011783,0.3971200422807186,0.3002813596807221,0.2789095734400055,25.606666666666666,34.421052631578945,51,1,1.1,0.0,9.4,1.0636612860061885,0.5011374721635979,0.007326643,1.038555478323281,23.98306390974257,23.741002559661865,23.43903949856758,23.21420826346187,23.121887023632343,210,0.9333333333333332,44.62741649150848,0.9716885671537472,0.3406715886699336,23.08641242980957,23.41400146484375,0.3275890350341797
T2.0V_2025-07-17-18-13-32_22_30_8_,1,0.60481,gypsum,8.0,2.0,4.5,gypsum_new,225,0.006271419,0.042261107,0.008198023,0.078716278,25.783996334160697,0.4923857507437026,23.957536697387695,27.275537490844727,0.079503483,0.0534049788298421,0.1027281019422723,0.501807474,0.4982142412700003,62.473333333333336,62.026315789473685,68,1,0.8620689655172413,12.83329668442779,6.6,0.0526351099435227,0.715514093,0.000736948,1.0578475554120337,26.540065538315545,26.003187668950932,25.668337018302317,25.429109032089645,24.604209899902344,378,0.8571428571428571,109.27625930309296,0.2367776697356724,1.6212924801843631,25.47699546813965,26.07567787,0.5986824035644531
T2.0V_2025-08-01-17-46-36_20_28_8_,1,0.60481,gypsum,8.0,2.0,4.5,gypsum_new,227,0.0133146878581185,0.1559818116578775,0.040126669,0.4654464721679687,22.23675465453563,0.2396661605941339,21.806468963623047,23.19573402404785,0.2473267118090026,0.1767862080757494,0.2603683975824715,0.3205516056117451,0.2843427794949885,32.446666666666665,40.973684210526315,44,1,1.0783847980997625,0.0,9.4,1.441726406410663,1.6870682127315009,0.008581212,1.0431258690582628,22.932947085453915,22.625132950869475,22.314040318131447,22.162300171790186,22.09052891566835,285,0.7894736842105263,55.21320295333862,0.9357284587284596,0.3471805237846387,22.083158493041992,22.303951263427734,0.2207927703857422
T2.0V_2025-07-17-18-00-56_22_34_12_,1,0.60481,gypsum,12.0,2.0,4.5,gypsum_new,199,0.004874633,0.069757759,0.0135183334350585,0.1050434112548828,25.67797135262034,0.4986016155642089,24.06588554382324,27.209978103637695,0.1132591924034281,0.082822162,0.1260927286579409,0.5139478590652367,0.5065943128362114,57.333333333333336,56.578947368421055,64,1,0.961352657,0.0,9.8,0.2836979148636258,0.2493942620477849,0.001183588,1.0596622969150955,26.376602392930252,26.110181629657745,25.678577907049835,25.422904562067103,25.284573386697208,288,1.125,64.28427076339722,0.6051367063080203,1.5798434953723246,25.330106735229492,25.95623016357422,0.6261234283447266
T2.0V_2025-08-01-17-36-02_20_32_12_,1,0.60481,gypsum,12.0,2.0,4.5,gypsum_new,255,0.0166489117026073,0.1826660081452011,0.055545858,0.6031036376953125,22.29183233373305,0.1746715021099689,21.90340232849121,23.141084671020508,0.2802616768946226,0.2039777051140287,0.3033952226825782,0.2683590972294263,0.2276104940614038,30.94,43.55263157894737,47,1,1.0450819672131149,0.0,9.8,1.3742866373024132,1.9360342847218217,0.0109148819831998,1.038097017982785,22.920907754164475,22.68361958,22.44574029743671,22.305202713012697,22.21368272980647,360,0.9,59.69848430156708,0.8991319591975568,0.265851527,22.16602135,22.359067916870117,0.1930465698242187
T2.0V_2025-07-28-16-46-09_20_34_14_,1,0.60481,gypsum,14.0,2.0,4.5,gypsum_new,207,0.0274526871344893,0.3041134525612357,0.0701437,0.8291969299316406,22.900779408441075,0.3012802578163935,22.37284469604492,24.092952728271484,0.5417827399608101,0.3546106549814308,0.5793215433756487,0.4052248693465978,0.3600361259680507,56.233333333333334,80.07894736842105,90,1,1.080939947780679,0.0,9.8,1.2098323351947888,0.9693654578023034,0.0134374735543152,1.0520581984817068,23.964929474724663,23.60515062014262,23.14045348534217,22.85315232276917,22.74719629,272,0.9411764705882352,52.62741649150848,0.9391957267335724,0.3491117641245311,22.675373077392575,23.059072494506836,0.3836994171142578
T2.2V_2025-07-25-17-49-55_20_26_6_,1,0.76483,gypsum,6.0,2.2,6.6,gypsum_new,268,0.015074823058943,0.1730899383772666,0.040542603,0.5407581329345703,23.01870293973097,0.3641597048183794,22.537981033325195,24.45763397216797,0.2529454710721424,0.1841488990499029,0.2808384681815532,0.4132016319915687,0.3921631079535824,48.71333333333333,55.973684210526315,63,1,1.057199211045365,0.0,9.8,1.50068895403141,1.5706320961949372,0.006877056,1.0625113863367757,23.857517682589016,23.62490278482437,23.122618298781543,22.888069528214476,22.800161825644004,378,0.8571428571428571,60.52691125869751,0.9192796238800042,0.3109680493472173,22.77144432067871,23.154748916625977,0.3833045959472656
T2.2V_2025-07-29-18-04-49_20_28_8_,1,0.76483,gypsum,8.0,2.2,6.6,gypsum_new,251,0.0203048837181594,0.2162604540942645,0.0526283098303753,0.4982624053955078,23.152733328617902,0.4716435185515388,22.57921981811523,24.941804885864254,0.3416822425072773,0.2481775067495304,0.3785042933733784,0.5458171208140697,0.5148314256662649,56.64666666666667,63.973684210526315,67,1,1.070362473347548,0.0,9.8,1.5651616169014722,1.6812526500285303,0.010954932538746,1.077272585,24.39842160542806,23.780034442742664,23.186955213546753,22.94428826527423,22.843596257661517,336,0.7619047619047619,59.69848418235779,0.8850279319995932,0.3801342814651051,22.82628822,23.291288375854492,0.4650001525878906
T2.2V_2025-07-25-17-32-43_20_30_10_,1,0.76483,gypsum,10.0,2.2,6.6,gypsum_new,270,0.0276266900023086,0.3187835128219056,0.063634449,0.6873435974121094,23.095340146665222,0.4583646350859572,22.455442428588867,24.87469482421875,0.4295992003546834,0.3276592522609395,0.4538010915120445,0.524132401,0.5009366063614747,68.98,78.52631578947368,82,1,1.0843373493975903,0.0,9.8,1.4652970978971205,1.5267286777304951,0.0109575718455011,1.0770438827163344,24.176444860605095,23.931961211291227,23.33254450559616,22.980089897805072,22.85131875818426,323,0.8947368421052632,58.627416372299194,0.9871249214466908,0.385872185,22.77144432067871,23.277633666992188,0.5061893463134766
