hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,delta_T,airflow_rate
93,0.026047503721428632,0.11769969488985055,0.03961724501390486,0.19961547851559658,24.925582578105313,0.32772980422990644,24.4306678771973,25.8499298095703,0.3673157764816894,0.24201989409743774,0.40240741032425587,0.13593384074533127,0.10503795279650815,5.333333333333333,17.05263157894737,24.0,13.6,1.6
69,0.020064199568834463,0.1076773767885939,0.02279959458570972,0.06677436828610084,24.75984871463499,0.28772066479423086,24.2687129974365,25.5170288085938,0.28861608367035313,0.2065101009866453,0.3087792603865868,0.08837905643130477,0.07371916028615258,0.013333333333333334,0.05263157894736842,1.0,8.6,1.6
59,0.017136250636411617,0.09336248494810562,0.023849142514736642,0.0535659790039027,24.493024176904704,0.2953509245317934,23.9168758392334,25.2231369018555,0.22965646534493295,0.15443556424587834,0.26621569617319657,0.0793212641810409,0.06704553625378902,0.006666666666666667,0.02631578947368421,1.0,6.1,1.6
80,0.023814596029428675,0.11806619167328236,0.037412181267375395,0.18629455566409803,24.960088627815242,0.340941623627303,24.2687129974365,25.8632297515869,0.3090020462086309,0.21711215845743653,0.3394839525222799,0.11192023996776113,0.09070199079331731,0.94,3.1578947368421053,8.0,11.1,1.6
193,0.015920752802423676,0.051239458390469395,0.01721060092632779,0.09293937683109732,25.746042391525034,0.11178774385864243,25.2900123596191,26.0226097106934,0.01007202986901063,0.027136372844583867,0.07176301392866326,0.0631928810941567,0.06317485287509743,0.0,0.0,0.0,4.6,1.6
95,0.03759224053819231,0.2122087779798072,0.07363080244797882,0.375955581665,23.380134349622224,0.5771327982820176,22.6204395294189,25.0490684509277,0.5485908096186701,0.38065551838122164,0.591100552207545,0.2045213043275054,0.15788461809917176,27.78,52.078947368421055,58.0,13.6,2.1
123,0.036973384561353004,0.18363761901854758,0.07397913566002015,0.321941375732397,23.38291016989607,0.5452723743961291,22.7165622711182,25.1428375244141,0.45328518831174813,0.31772813212904427,0.49452190864377993,0.19936112967244127,0.1590295907077225,24.773333333333333,49.81578947368421,59.0,11.1,2.1
99,0.02822807663248488,0.15784673979788266,0.035577708024252426,0.24168395996090197,23.490889456392537,0.5428432983676021,22.7577285766602,24.9820384979248,0.34013666085016486,0.23758634162672398,0.3712304240525456,0.14262186355110668,0.11859959975063639,5.526666666666666,15.236842105263158,22.0,8.6,2.1
119,0.026501293712534384,0.1266198518897248,0.03381965343767987,0.1348571777343004,23.041178497186223,0.5134044385694696,22.3866100311279,24.5250263214111,0.3616703650108806,0.25421031513801284,0.39003136578727954,0.13876825334039916,0.10838079093334187,8.44,23.105263157894736,33.0,6.1,2.1
35,0.02799217790037633,0.11370408194404646,0.029562605344337727,0.1758842468262003,23.293739384242468,0.4573459755158717,22.4967231750488,24.2011489868164,0.341057635429204,0.23572234562464794,0.37149331229072313,0.0661742692254569,0.05949225751388274,0.05333333333333334,0.10526315789473684,2.0,4.6,2.1
