sample_id,std_dev,center_offset,max_val,min_val,status
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_2,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_3,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_4,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_5,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_6,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_7,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_8,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_9,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__1_orig_replay_10,0.30511242151260376,0.1900424372133607,23.87619400024414,22.083158493041992,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_0,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_1,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_2,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_3,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_4,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_5,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_6,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_7,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_8,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_9,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.6V_2025-08-14-14-56-37_21_34_13__2_orig_replay_10,0.16115042567253113,0.3894321305811948,23.69973373413086,22.620439529418945,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_0,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_1,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_2,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_3,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_4,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_5,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_6,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_7,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_8,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
T1.8V_2025-08-14-14-37-20_21_26_5__1_orig_replay_9,0.26243168115615845,0.5481091725472572,23.68614959716797,22.262590408325195,OK
