video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,temp_p25,temp_p75,temp_iqr
temp_2025-3-13-18-45-14_21.4_35_13.6_,1,0.69,hardyboard,13.6,1.8,4.0,446,0.0073949763236743,0.0696277276282906,0.058959722518922,0.6471500396728018,22.902989963993367,0.2916112618832844,22.4279098510742,24.807544708252,0.1359633960503281,0.0888409545852806,0.1574805734403455,0.3868260711057251,0.3443335636833307,39.24,47.973684210526315,51,1,1.058125741399763,0.0,9.4,2.9753961499275587,10.399974946305516,0.0104659888774348,1.0831574718957155,23.009423528398766,23.10469338473152,23.04848745561415,22.883382581446295,22.817401607831325,525,1.1904761904761905,79.21320307254791,0.8932017660630678,0.295727342580238,22.7577285766602,22.9222087860107,0.1644802093505006
T2.0V_2025-08-14-13-06-37_21_26_5_,1_centerhole,0.898,hardyboard,5.0,2.0,6.5,137,0.0076043286752821,0.0696152735800659,0.0118541717529296,0.0817794799804687,23.1228059949666,0.1018835093326502,22.77144432067871,23.49571990966797,0.1053980311841829,0.0737836526838258,0.1259296027413263,0.1172840784305736,0.1099523693821129,0.0133333333333333,0.0526315789473684,1,1,1.1093117408906883,0.0,9.0,0.4688041180231956,-0.0318852817890915,0.0021238189630505,1.016127537236724,23.329920450846355,23.29023985862732,23.181876683235167,23.095105041157115,23.058771173159283,195,1.1538461538461535,42.041629791259766,0.9740277811727932,0.2499049378443994,23.045387268066406,23.19573402404785,0.1503467559814453
T2.0V_2025-08-14-13-06-37_21_26_5_,2_cornerhole,0.33372,hardyboard,5.0,2.0,6.5,192,0.0057166375410864,0.0554651518662758,0.0097197578066871,0.1224384307861328,22.906117387811346,0.2144498882335596,22.537981033325195,23.67255592346191,0.0936549996074876,0.0599358165264129,0.1130668322245291,0.222814382431978,0.2195571311729264,12.953333333333331,15.078947368421051,18,1,1.1162790697674418,0.0,9.4,1.2894724601391918,1.1072151726156108,0.0017132591925603,1.0334599933578617,23.499463187323677,23.189148426055908,22.950218274043156,22.79057098759545,22.761291669762652,224,1.1428571428571428,48.97056245803833,1.0060994424693537,0.2398406942687515,22.757728576660156,22.990665435791016,0.2329368591308593
T2.0V_2025-08-15-17-43-59_21_28_7_,1_centerhole,0.898,hardyboard,7.0,2.0,6.5,182,0.0080643753704827,0.0763288644643935,0.0137057304382324,0.1370162963867187,22.08248431677346,0.2699857893951969,21.653942108154297,23.045387268066406,0.1403049098886874,0.0947529532184533,0.1528773255400608,0.2987281494259012,0.287073521179382,22.82,27.210526315789473,30,1,1.0224719101123596,0.0,9.4,1.0891103457924936,0.4382465749561444,0.004031940204439,1.043604828944067,22.771344331594612,22.39474751551946,22.01099839963411,21.895642098926363,21.86645571390788,266,0.7368421052631579,53.79898953437805,0.790192702414996,0.4387498609936984,21.875717163085938,22.221220016479492,0.3455028533935547
T2.0V_2025-08-15-17-43-59_21_28_7_,2_cornerhole,0.33372,hardyboard,7.0,2.0,6.5,129,0.0086963638778788,0.08708532466445,0.0152428944905598,0.1508941650390625,22.383920510166377,0.1564272871857389,21.917240142822266,22.88111114501953,0.1557332921738239,0.1090064782628102,0.170800541722496,0.177822398702564,0.1687889725631549,1.9266666666666667,3.8947368421052633,8,1,1.1072961373390555,0.0,6.8,0.2679572262583829,-0.258534404230399,0.0029098647576641,1.022211954989178,22.7531189388699,22.63758957386017,22.497632291581898,22.36097057049091,22.269915317666943,182,0.9285714285714286,41.21320307254791,0.9543921010757946,0.4295488998794154,22.262590408325195,22.496723175048828,0.2341327667236328
T2.0V_2025-08-14-12-48-24_21_30_9_,1_centerhole,0.898,hardyboard,9.0,2.0,6.5,152,0.0107885766447631,0.1016562988883578,0.0217370784029047,0.1362667083740234,23.125534817043103,0.118298735253072,22.8262882232666,23.56377220153809,0.1812553868069224,0.1215618375309736,0.2103105218786964,0.1474748122340026,0.1347589416211073,2.466666666666667,6.078947368421052,11,1,1.1135531135531136,0.0,9.2,0.703327570564901,0.2477022552782335,0.0039683177382441,1.0189503675466138,23.43819989098443,23.350184781210764,23.219180315732956,23.10903497602119,23.05532706867565,195,1.1538461538461535,43.79898941516876,0.9956925826573658,0.257662877732975,23.03171157836914,23.19573402404785,0.1640224456787109
T2.0V_2025-08-14-12-48-24_21_30_9_,2_cornerhole,0.33372,hardyboard,9.0,2.0,6.5,186,0.0128163889087459,0.1218035913282804,0.0262445019137474,0.2306957244873047,22.989714909420226,0.2675653614193164,22.551727294921875,23.971080780029297,0.1907145338808659,0.1339028383070407,0.2164212606286462,0.3034563133724899,0.2883080951798841,23.886666666666667,27.23684210526316,29,1,1.0782608695652174,0.0,7.8,1.3384012275365205,1.2202474170231363,0.0046786482768231,1.042687170087827,23.78489727444119,23.42760365349906,23.09251255255479,22.882924454552786,22.80471269095816,240,1.0666666666666669,49.79898953437805,0.9425008422576128,0.2887546837274645,22.798877716064453,23.100088119506836,0.3012104034423828
T2.0V_2025-08-14-12-38-07_21_34_13_,1_centerhole,0.898,hardyboard,13.0,2.0,6.5,196,0.0137839039691498,0.1453613651042076,0.0308927808489118,0.2975826263427734,23.33164626705403,0.2929607303957592,22.8262882232666,24.33622932434082,0.2471842192169424,0.167172360647293,0.2775855453646905,0.3456233381034486,0.3220477126856526,30.26,39.5,46,1,1.0858725761772854,0.0,9.4,1.146382455582842,0.7875949323689664,0.0065698270119095,1.043056672717747,24.074743270874023,23.86535164288112,23.51540468289302,23.26830962726048,23.139980447058583,256,1.0,50.62741649150848,0.9609358662546426,0.3337983526234653,23.12742805480957,23.468490600585938,0.3410625457763672
T2.0V_2025-08-14-12-38-07_21_34_13_,2_cornerhole,0.33372,hardyboard,13.0,2.0,6.5,183,0.0118904031106977,0.1094220583556122,0.0226161215040418,0.217111587524414,23.470490648238385,0.1342910100687924,23.113754272460938,23.94398307800293,0.2059796662175662,0.1332872736084877,0.2208121044388242,0.1708466801979935,0.1542803539373319,5.68,13.157894736842104,18,1,1.1124620060790271,0.0,8.8,0.5449467296680056,-0.0161954055550328,0.0046401094801002,1.0201739468024325,23.849057091606987,23.747469220842635,23.585707609470074,23.452040995870316,23.430808719835785,210,0.9333333333333332,48.14213538169861,0.9922252028942792,0.326919351280392,23.359472274780273,23.55016708374023,0.1906948089599609
temp_2025-3-13-19-29-6_21.4_26_4.6_,1,0.933,hardyboard,4.6,2.1,7.0,401,0.003367125052447,0.026030029144664,0.0174042837960288,0.1624927520751988,22.924877968214993,0.2190689678969014,22.4829654693604,24.1741008758545,0.0619952548190207,0.038347277526356,0.0741142311001112,0.2605399149358289,0.2411882747385604,24.866666666666667,28.710526315789473,32,1,1.0429128738621587,0.0,9.4,2.5551483604230074,7.747047288478928,0.004083064757638,1.054492019951929,23.14725676037016,23.12210322828853,22.962633325503425,22.868580748564995,22.85147027566399,528,0.9166666666666666,75.94112491607666,0.8737761463797296,0.2647634646712254,22.7988777160645,22.9495983123779,0.1507205963134019
